Emergency Vehicle Classification Results
File Name,Energy Ratio,Prediction,Confidence
sound_171.wav,0.043,firetruck,0.950
sound_172.wav,1.227,firetruck,0.950
sound_173.wav,1.742,firetruck,0.950
sound_174.wav,2.194,firetruck,0.950
sound_175.wav,0.561,firetruck,0.950
sound_176.wav,0.231,firetruck,0.950
sound_177.wav,0.040,firetruck,0.950
sound_178.wav,1.906,firetruck,0.950
sound_179.wav,0.072,firetruck,0.950
sound_180.wav,0.929,firetruck,0.950
sound_181.wav,0.102,firetruck,0.950
sound_182.wav,0.526,firetruck,0.950
sound_183.wav,0.649,firetruck,0.950
sound_184.wav,0.015,firetruck,0.950
sound_185.wav,0.184,firetruck,0.950
sound_186.wav,2.150,firetruck,0.950
sound_187.wav,17.338,firetruck,0.819
sound_188.wav,0.437,firetruck,0.950
sound_189.wav,0.176,firetruck,0.950
sound_190.wav,0.192,firetruck,0.950
sound_191.wav,0.012,firetruck,0.950
sound_192.wav,0.271,firetruck,0.950
sound_193.wav,2.432,firetruck,0.950
sound_194.wav,0.006,firetruck,0.950
sound_195.wav,0.061,firetruck,0.950
sound_196.wav,0.671,firetruck,0.950
sound_197.wav,1.283,firetruck,0.950
sound_198.wav,0.197,firetruck,0.950
sound_199.wav,0.001,firetruck,0.950
sound_200.wav,0.476,firetruck,0.950
sound_366.wav,6.052,firetruck,0.937
sound_367.wav,2.396,firetruck,0.950
sound_368.wav,0.866,firetruck,0.950
sound_369.wav,7.401,firetruck,0.923
sound_370.wav,1.177,firetruck,0.950
sound_371.wav,2.222,firetruck,0.950
sound_372.wav,2.179,firetruck,0.950
sound_373.wav,1.562,firetruck,0.950
sound_374.wav,3.282,firetruck,0.950
sound_375.wav,3.518,firetruck,0.950
sound_376.wav,6.999,firetruck,0.927
sound_377.wav,11.139,firetruck,0.884
sound_378.wav,1.408,firetruck,0.950
sound_379.wav,0.236,firetruck,0.950
sound_380.wav,2.412,firetruck,0.950
sound_381.wav,3.283,firetruck,0.950
sound_382.wav,1.921,firetruck,0.950
sound_383.wav,1.126,firetruck,0.950
sound_384.wav,30.302,firetruck,0.683
sound_385.wav,3.106,firetruck,0.950
sound_386.wav,4.422,firetruck,0.950
sound_387.wav,20.429,firetruck,0.786
sound_388.wav,1.015,firetruck,0.950
sound_389.wav,0.504,firetruck,0.950
sound_390.wav,13.939,firetruck,0.854
sound_391.wav,3.564,firetruck,0.950
sound_392.wav,1.862,firetruck,0.950
sound_393.wav,2.015,firetruck,0.950
sound_394.wav,0.130,firetruck,0.950
sound_395.wav,775.778,ambulance,0.950
sound_396.wav,5.049,firetruck,0.947
sound_397.wav,0.359,firetruck,0.950
sound_398.wav,2.388,firetruck,0.950
sound_399.wav,1.447,firetruck,0.950
sound_400.wav,0.295,firetruck,0.950
